Device1	Device2	Device3	Device4
5435	3551	3027	2590
5387	3587	3075	2561
5426	3576	3200	2795
5392	3513	2760	2491
5323	3539	3205	2678
5348	3553	2733	2483
5378	3564	3257	2553
5415	3538	2708	3201
5413	3460	2789	2617
5362	3583	3172	2675
