
LAN				116.13		2118.8
WLAN			207.59		3729.8
"Late 100"		318.716		5852.6
WAN				450.724		8068.2
"Late 200"		532.324		9910.6
"Late 250"		601.934		10954
"Late 300"		684.54		12965.6
"1 Device" 		424.783		5353.9
"2 Devices" 	337.342		3530.4
"3 Devices" 	290.643		2992.6
"4 Devices" 	265.379		2664.4
